date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:01	85859/85859	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/index.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/index.html	(from )
11:03:01	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Mar%202025%2008:02:57%20GMT	https://html.tonatheme.com/robots.txt		(from )
11:03:02	155764/155764	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Jul%202019%2013:18:02%20GMT	https://html.tonatheme.com/2021/Governlia/assets/css/bootstrap.css	D:/track/belediye/html.tonatheme.com/2021/Governlia/assets/css/bootstrap.css	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:03	4021/4021	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Dec%202020%2014:58:28%20GMT	https://html.tonatheme.com/2021/Governlia/assets/css/responsive.css	D:/track/belediye/html.tonatheme.com/2021/Governlia/assets/css/responsive.css	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:03	129478/129478	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2003:08:50%20GMT	https://html.tonatheme.com/2021/Governlia/assets/css/style.css	D:/track/belediye/html.tonatheme.com/2021/Governlia/assets/css/style.css	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:04	6845/6845	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Nov%202020%2018:22:36%20GMT	https://html.tonatheme.com/2021/Governlia/assets/css/color.css	D:/track/belediye/html.tonatheme.com/2021/Governlia/assets/css/color.css	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:05	1641/1641	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2022:50:46%20GMT	https://html.tonatheme.com/2021/Governlia/assets/images/favicon.png	D:/track/belediye/html.tonatheme.com/2021/Governlia/assets/images/favicon.png	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:05	3425/3425	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2020:59:44%20GMT	https://html.tonatheme.com/2021/Governlia/assets/images/logo.png	D:/track/belediye/html.tonatheme.com/2021/Governlia/assets/images/logo.png	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:05	959/959	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Oct%202020%2023:25:12%20GMT	https://html.tonatheme.com/2021/Governlia/assets/images/icons/icon-bar-2.png	D:/track/belediye/html.tonatheme.com/2021/Governlia/assets/images/icons/icon-bar-2.png	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:05	67663/67663	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/index-2.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/index-2.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:06	45149/45149	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/about.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/about.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:06	37911/37911	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/departments-one.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/departments-one.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:06	31860/31860	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/departments-two.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/departments-two.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:06	30056/30056	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/business-taxation.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/business-taxation.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:07	30060/30060	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/law-justice.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/law-justice.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:07	30062/30062	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/government-election.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/government-election.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:07	30065/30065	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/pets-area.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/pets-area.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:07	30052/30052	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/employment-jo.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/employment-jo.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
11:03:08	30054/30054	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Feb%202021%2023:33:34%20GMT	https://html.tonatheme.com/2021/Governlia/real-estate-building.html	D:/track/belediye/html.tonatheme.com/2021/Governlia/real-estate-building.html	(from https://html.tonatheme.com/2021/Governlia/index.html)
